259	CONTINUATION	part of the statement at 258	
261	AGREED	stage 1 hashes the octets received, no parse, no normalize	1290, 1345
262	CONTINUATION	part of the statement at 261	
264	BRACKETED-KNOWN	no parse, normalize or re-serialize when hashing	1347
265	CONTINUATION	part of the statement at 264	
266	CONTINUATION	part of the statement at 264	
268	AGREED	stage 2 rejects: dup keys, unsafe numbers, CNS.id, CNS.to, unanchored	1355, 1356, 251, 1441, 1806
269	CONTINUATION	part of the statement at 268	
270	CONTINUATION	part of the statement at 268	
272	AGREED	stage 3 is total and pure	1929, 1944
274	META	heading, status, or the provenance section	
276	BRACKETED-KNOWN	a citation carries both handles	1656
278	AGREED	the six-state citation table	1795, 1929
279	CONTINUATION	part of the statement at 278	
280	CONTINUATION	part of the statement at 278	
281	CONTINUATION	part of the statement at 278	
282	CONTINUATION	part of the statement at 278	
283	CONTINUATION	part of the statement at 278	
284	CONTINUATION	part of the statement at 278	
285	CONTINUATION	part of the statement at 278	
287	NOT-AN-OBLIGATION	why both handles	
288	NOT-AN-OBLIGATION	why both handles	
289	NOT-AN-OBLIGATION	why both handles	
291	NOT-AN-OBLIGATION	why UNCHECKABLE	
292	NOT-AN-OBLIGATION	why UNCHECKABLE	
293	NOT-AN-OBLIGATION	why UNCHECKABLE	
294	NOT-AN-OBLIGATION	why UNCHECKABLE	
321	AGREED	evaluation is total — every input returns a state	1457, 2002
322	NOT-AN-OBLIGATION	why stage 3 still classifies	
323	NOT-AN-OBLIGATION	why stage 3 still classifies	
325	NOT-AN-OBLIGATION	why branch on parent_id first	
326	NOT-AN-OBLIGATION	why branch on parent_id first	
327	NOT-AN-OBLIGATION	why branch on parent_id first	
329	META	heading, status, or the provenance section	
338	BRACKETED-KNOWN	the store guarantees the digest invariant	2021
339	CONTINUATION	part of the statement at 338	
341	BRACKETED-KNOWN	STORE_CORRUPTION, never DIVERGES against a child	2043
342	CONTINUATION	part of the statement at 341	
343	CONTINUATION	part of the statement at 341	
345	META	heading, status, or the provenance section	
347	META	heading, status, or the provenance section	
349	META	heading, status, or the provenance section	
351	META	heading, status, or the provenance section	
352	META	heading, status, or the provenance section	
353	META	heading, status, or the provenance section	
354	META	heading, status, or the provenance section	
356	META	heading, status, or the provenance section	
357	META	heading, status, or the provenance section	
358	META	heading, status, or the provenance section	
359	META	heading, status, or the provenance section	
361	META	heading, status, or the provenance section	
362	META	heading, status, or the provenance section	
363	META	heading, status, or the provenance section	
364	META	heading, status, or the provenance section	
366	META	heading, status, or the provenance section	
368	META	heading, status, or the provenance section	
370	META	heading, status, or the provenance section	
371	META	heading, status, or the provenance section	
372	META	heading, status, or the provenance section	
373	META	heading, status, or the provenance section	
374	META	heading, status, or the provenance section	
375	META	heading, status, or the provenance section	
376	META	heading, status, or the provenance section	
378	META	heading, status, or the provenance section	
379	META	heading, status, or the provenance section	
381	META	heading, status, or the provenance section	
383	META	heading, status, or the provenance section	
384	META	heading, status, or the provenance section	
